case:concept:name,Activities_Repeated,Total_Extra_Steps
declaration 33533,Declaration SUBMITTED by EMPLOYEE,1
declaration 15657,Declaration SUBMITTED by EMPLOYEE,1
declaration 1555,Declaration SUBMITTED by EMPLOYEE,1
declaration 15510,Declaration SUBMITTED by EMPLOYEE,1
declaration 15492,Declaration SUBMITTED by EMPLOYEE,1
declaration 42749,Declaration SUBMITTED by EMPLOYEE,1
declaration 42457,Declaration SUBMITTED by EMPLOYEE,1
declaration 42440,Declaration SUBMITTED by EMPLOYEE,1
declaration 42425,Declaration SUBMITTED by EMPLOYEE,1
declaration 42201,Declaration SUBMITTED by EMPLOYEE,1
declaration 41906,Declaration SUBMITTED by EMPLOYEE,1
declaration 41858,Declaration SUBMITTED by EMPLOYEE,1
declaration 41757,Declaration SUBMITTED by EMPLOYEE,1
declaration 41744,Declaration SUBMITTED by EMPLOYEE,1
declaration 41706,Declaration SUBMITTED by EMPLOYEE,1
declaration 41693,Declaration SUBMITTED by EMPLOYEE,1
declaration 41680,Declaration SUBMITTED by EMPLOYEE,1
declaration 41612,Declaration SUBMITTED by EMPLOYEE,1
declaration 41503,Declaration SUBMITTED by EMPLOYEE,1
declaration 41456,Declaration SUBMITTED by EMPLOYEE,1
declaration 15753,Declaration SUBMITTED by EMPLOYEE,1
declaration 43755,Declaration SUBMITTED by EMPLOYEE,1
declaration 43745,Send Reminder,1
declaration 43682,Declaration SUBMITTED by EMPLOYEE,1
declaration 43645,Declaration SUBMITTED by EMPLOYEE,1
declaration 43608,Declaration SUBMITTED by EMPLOYEE,1
declaration 43580,Declaration SUBMITTED by EMPLOYEE,1
declaration 43475,Declaration SUBMITTED by EMPLOYEE,1
declaration 4340,Declaration SUBMITTED by EMPLOYEE,1
declaration 43342,Declaration SUBMITTED by EMPLOYEE,1
declaration 43289,Declaration SUBMITTED by EMPLOYEE,1
declaration 4326,Declaration SUBMITTED by EMPLOYEE,1
declaration 43144,Declaration SUBMITTED by EMPLOYEE,1
declaration 4295,Declaration SUBMITTED by EMPLOYEE,1
declaration 42920,Declaration SUBMITTED by EMPLOYEE,1
declaration 42874,Declaration SUBMITTED by EMPLOYEE,1
declaration 42787,Declaration SUBMITTED by EMPLOYEE,1
declaration 14824,Declaration SUBMITTED by EMPLOYEE,1
declaration 147514,Declaration SUBMITTED by EMPLOYEE,1
declaration 147487,Declaration SUBMITTED by EMPLOYEE,1
declaration 147425,Declaration SUBMITTED by EMPLOYEE,1
declaration 44244,Declaration SUBMITTED by EMPLOYEE,1
declaration 44177,Declaration SUBMITTED by EMPLOYEE,1
declaration 4417,Declaration SUBMITTED by EMPLOYEE,1
declaration 44067,Declaration SUBMITTED by EMPLOYEE,1
declaration 44042,Send Reminder,1
declaration 44015,Declaration SUBMITTED by EMPLOYEE,1
declaration 4400,Declaration SUBMITTED by EMPLOYEE,1
declaration 43932,Declaration SUBMITTED by EMPLOYEE,1
declaration 43903,Declaration SUBMITTED by EMPLOYEE,1
declaration 43889,Declaration SUBMITTED by EMPLOYEE,1
declaration 43811,Declaration SUBMITTED by EMPLOYEE,1
declaration 43774,Declaration SUBMITTED by EMPLOYEE,1
declaration 45001,Declaration SUBMITTED by EMPLOYEE,1
declaration 44846,Declaration SUBMITTED by EMPLOYEE,1
declaration 44833,Declaration SUBMITTED by EMPLOYEE,1
declaration 44802,Declaration SUBMITTED by EMPLOYEE,1
declaration 44750,Declaration SUBMITTED by EMPLOYEE,1
declaration 44734,Declaration SUBMITTED by EMPLOYEE,1
declaration 44692,Permit SUBMITTED by EMPLOYEE,1
declaration 44646,Declaration SUBMITTED by EMPLOYEE,1
declaration 44490,Declaration SUBMITTED by EMPLOYEE,1
declaration 44474,Declaration SUBMITTED by EMPLOYEE,1
declaration 15168,Permit SUBMITTED by EMPLOYEE,1
declaration 15105,Declaration SUBMITTED by EMPLOYEE,1
declaration 15080,Declaration SUBMITTED by EMPLOYEE,1
declaration 15037,Permit SUBMITTED by EMPLOYEE,1
declaration 1501,Declaration SUBMITTED by EMPLOYEE,1
declaration 14933,Declaration SUBMITTED by EMPLOYEE,1
declaration 147187,Declaration SUBMITTED by EMPLOYEE,1
declaration 147127,Declaration SUBMITTED by EMPLOYEE,1
declaration 14712,Declaration SUBMITTED by EMPLOYEE,1
declaration 147116,Declaration SUBMITTED by EMPLOYEE,1
declaration 147083,Declaration SUBMITTED by EMPLOYEE,1
declaration 147073,Declaration SUBMITTED by EMPLOYEE,1
declaration 147053,Declaration SUBMITTED by EMPLOYEE,1
declaration 147028,Declaration SUBMITTED by EMPLOYEE,1
declaration 45986,Declaration SUBMITTED by EMPLOYEE,1
declaration 45959,Declaration SUBMITTED by EMPLOYEE,1
declaration 45728,Declaration SUBMITTED by EMPLOYEE,1
declaration 45607,Declaration SUBMITTED by EMPLOYEE,1
declaration 45537,Declaration SUBMITTED by EMPLOYEE,1
declaration 45297,Declaration SUBMITTED by EMPLOYEE,1
declaration 45014,Declaration SUBMITTED by EMPLOYEE,1
declaration 4501,Declaration SUBMITTED by EMPLOYEE,1
declaration 147313,Declaration SUBMITTED by EMPLOYEE,1
declaration 33365,Declaration SUBMITTED by EMPLOYEE,1
declaration 33332,Declaration SUBMITTED by EMPLOYEE,1
declaration 33204,Declaration SUBMITTED by EMPLOYEE,1
declaration 33106,Permit SUBMITTED by EMPLOYEE,1
declaration 33104,Permit SUBMITTED by EMPLOYEE,1
declaration 33059,Permit SUBMITTED by EMPLOYEE,1
declaration 33010,Declaration SUBMITTED by EMPLOYEE,1
declaration 32985,Declaration SUBMITTED by EMPLOYEE,1
declaration 32970,Permit SUBMITTED by EMPLOYEE,1
declaration 32927,Declaration SUBMITTED by EMPLOYEE,1
declaration 32825,Declaration SUBMITTED by EMPLOYEE,1
declaration 32779,Declaration SUBMITTED by EMPLOYEE,1
declaration 32756,Permit SUBMITTED by EMPLOYEE,1
declaration 147263,Declaration SUBMITTED by EMPLOYEE,1
declaration 147198,Declaration SUBMITTED by EMPLOYEE,1
declaration 4717,Declaration SUBMITTED by EMPLOYEE,1
declaration 47106,Declaration SUBMITTED by EMPLOYEE,1
declaration 47073,Declaration SUBMITTED by EMPLOYEE,1
declaration 46991,Declaration SUBMITTED by EMPLOYEE,1
declaration 46974,Declaration SUBMITTED by EMPLOYEE,1
declaration 46871,Declaration SUBMITTED by EMPLOYEE,1
declaration 46708,Declaration SUBMITTED by EMPLOYEE,1
declaration 4666,Declaration SUBMITTED by EMPLOYEE,1
declaration 46552,Declaration SUBMITTED by EMPLOYEE,1
declaration 46528,Declaration SUBMITTED by EMPLOYEE,1
declaration 46383,Declaration SUBMITTED by EMPLOYEE,1
declaration 46309,Declaration SUBMITTED by EMPLOYEE,1
declaration 46221,Declaration SUBMITTED by EMPLOYEE,1
declaration 46025,Declaration SUBMITTED by EMPLOYEE,1
declaration 46006,Declaration SUBMITTED by EMPLOYEE,1
declaration 147325,Declaration SUBMITTED by EMPLOYEE,1
declaration 48191,Declaration SUBMITTED by EMPLOYEE,1
declaration 4811,Permit SUBMITTED by EMPLOYEE,1
declaration 48015,Declaration SUBMITTED by EMPLOYEE,1
declaration 47902,Declaration SUBMITTED by EMPLOYEE,1
declaration 47836,Declaration SUBMITTED by EMPLOYEE,1
declaration 47772,Declaration SUBMITTED by EMPLOYEE,1
declaration 47659,Declaration SUBMITTED by EMPLOYEE,1
declaration 4758,Declaration SUBMITTED by EMPLOYEE,1
declaration 47566,Declaration SUBMITTED by EMPLOYEE,1
declaration 47499,Declaration SUBMITTED by EMPLOYEE,1
declaration 47452,Declaration SUBMITTED by EMPLOYEE,1
declaration 4745,Declaration SUBMITTED by EMPLOYEE,1
declaration 47431,Declaration SUBMITTED by EMPLOYEE,1
declaration 47266,Declaration SUBMITTED by EMPLOYEE,1
declaration 47235,Declaration SUBMITTED by EMPLOYEE,1
declaration 47191,Declaration SUBMITTED by EMPLOYEE,1
declaration 49599,Declaration SUBMITTED by EMPLOYEE,1
declaration 4958,Declaration SUBMITTED by EMPLOYEE,1
declaration 49543,Permit SUBMITTED by EMPLOYEE,1
declaration 49503,Declaration SUBMITTED by EMPLOYEE,1
declaration 49490,Declaration SUBMITTED by EMPLOYEE,1
declaration 49375,Declaration SUBMITTED by EMPLOYEE,1
declaration 49273,Declaration SUBMITTED by EMPLOYEE,1
declaration 48907,Declaration SUBMITTED by EMPLOYEE,1
declaration 4881,Declaration SUBMITTED by EMPLOYEE,1
declaration 48796,Declaration SUBMITTED by EMPLOYEE,1
declaration 48750,Permit SUBMITTED by EMPLOYEE,1
declaration 48728,Declaration SUBMITTED by EMPLOYEE,1
declaration 4851,Declaration SUBMITTED by EMPLOYEE,1
declaration 48405,Declaration SUBMITTED by EMPLOYEE,1
declaration 48378,Declaration SUBMITTED by EMPLOYEE,1
declaration 48237,Declaration SUBMITTED by EMPLOYEE,1
declaration 32640,Declaration SUBMITTED by EMPLOYEE,1
declaration 32541,Declaration SUBMITTED by EMPLOYEE,1
declaration 3252,Declaration SUBMITTED by EMPLOYEE,1
declaration 32424,Declaration SUBMITTED by EMPLOYEE,1
declaration 3239,Declaration SUBMITTED by EMPLOYEE,1
declaration 32360,Declaration SUBMITTED by EMPLOYEE,1
declaration 32323,Declaration SUBMITTED by EMPLOYEE,1
declaration 32185,Declaration SUBMITTED by EMPLOYEE,1
declaration 32148,Declaration SUBMITTED by EMPLOYEE,1
declaration 32039,Declaration SUBMITTED by EMPLOYEE,1
declaration 32016,Declaration SUBMITTED by EMPLOYEE,1
declaration 31815,Declaration SUBMITTED by EMPLOYEE,1
declaration 49926,Declaration SUBMITTED by EMPLOYEE,1
declaration 49879,Declaration SUBMITTED by EMPLOYEE,1
declaration 49768,Declaration SUBMITTED by EMPLOYEE,1
declaration 49755,Declaration SUBMITTED by EMPLOYEE,1
declaration 51355,Declaration SUBMITTED by EMPLOYEE,1
declaration 51342,Declaration SUBMITTED by EMPLOYEE,1
declaration 51307,Declaration SUBMITTED by EMPLOYEE,1
declaration 5108,Declaration SUBMITTED by EMPLOYEE,1
declaration 51073,Declaration SUBMITTED by EMPLOYEE,1
declaration 50941,Declaration SUBMITTED by EMPLOYEE,1
declaration 506,Declaration SUBMITTED by EMPLOYEE,1
declaration 50447,Declaration SUBMITTED by EMPLOYEE,1
declaration 50416,Declaration SUBMITTED by EMPLOYEE,1
declaration 50363,Declaration SUBMITTED by EMPLOYEE,1
declaration 5034,Permit SUBMITTED by EMPLOYEE,1
declaration 50287,Declaration SUBMITTED by EMPLOYEE,1
declaration 50187,Declaration SUBMITTED by EMPLOYEE,1
declaration 50110,Permit SUBMITTED by EMPLOYEE,1
declaration 50041,Declaration SUBMITTED by EMPLOYEE,1
declaration 49994,Declaration SUBMITTED by EMPLOYEE,1
declaration 146396,Declaration SUBMITTED by EMPLOYEE,1
declaration 146372,Declaration SUBMITTED by EMPLOYEE,1
declaration 146343,Declaration SUBMITTED by EMPLOYEE,1
declaration 52194,Declaration SUBMITTED by EMPLOYEE,1
declaration 52152,Declaration SUBMITTED by EMPLOYEE,1
declaration 52122,Declaration SUBMITTED by EMPLOYEE,1
declaration 52045,Declaration SUBMITTED by EMPLOYEE,1
declaration 5191,Declaration SUBMITTED by EMPLOYEE,1
declaration 51909,Declaration SUBMITTED by EMPLOYEE,1
declaration 51894,Declaration SUBMITTED by EMPLOYEE,1
declaration 51854,Declaration SUBMITTED by EMPLOYEE,1
declaration 51820,Declaration SUBMITTED by EMPLOYEE,1
declaration 51668,Declaration SUBMITTED by EMPLOYEE,1
declaration 51612,Declaration SUBMITTED by EMPLOYEE,1
declaration 51477,Declaration SUBMITTED by EMPLOYEE,1
declaration 51368,Permit SUBMITTED by EMPLOYEE,1
declaration 52428,Declaration SUBMITTED by EMPLOYEE,1
declaration 52272,Declaration SUBMITTED by EMPLOYEE,1
declaration 52243,Declaration SUBMITTED by EMPLOYEE,1
declaration 52207,Declaration SUBMITTED by EMPLOYEE,1
declaration 147001,Declaration SUBMITTED by EMPLOYEE,1
declaration 146954,Declaration SUBMITTED by EMPLOYEE,1
declaration 146906,Declaration SUBMITTED by EMPLOYEE,1
declaration 146894,Declaration SUBMITTED by EMPLOYEE,1
declaration 146861,Declaration SUBMITTED by EMPLOYEE,1
declaration 146628,Declaration SUBMITTED by EMPLOYEE,1
declaration 146561,Declaration SUBMITTED by EMPLOYEE,1
declaration 146535,Declaration SUBMITTED by EMPLOYEE,1
declaration 146517,Declaration SUBMITTED by EMPLOYEE,1
declaration 146488,Declaration SUBMITTED by EMPLOYEE,1
declaration 146426,Declaration SUBMITTED by EMPLOYEE,1
declaration 146407,Declaration SUBMITTED by EMPLOYEE,1
declaration 53861,Declaration SUBMITTED by EMPLOYEE,1
declaration 53791,Declaration SUBMITTED by EMPLOYEE,1
declaration 53724,Declaration SUBMITTED by EMPLOYEE,1
declaration 53547,Declaration SUBMITTED by EMPLOYEE,1
declaration 53519,Declaration SUBMITTED by EMPLOYEE,1
declaration 53465,Declaration SUBMITTED by EMPLOYEE,1
declaration 53450,Declaration SUBMITTED by EMPLOYEE,1
declaration 53326,Declaration SUBMITTED by EMPLOYEE,1
declaration 53305,Declaration SUBMITTED by EMPLOYEE,1
declaration 53288,Declaration SUBMITTED by EMPLOYEE,1
declaration 53072,Declaration SUBMITTED by EMPLOYEE,1
declaration 52853,Declaration SUBMITTED by EMPLOYEE,1
declaration 52734,Declaration SUBMITTED by EMPLOYEE,1
declaration 52719,Declaration SUBMITTED by EMPLOYEE,1
declaration 52561,Declaration SUBMITTED by EMPLOYEE,1
declaration 52443,Declaration SUBMITTED by EMPLOYEE,1
declaration 55009,Declaration SUBMITTED by EMPLOYEE,1
declaration 54926,Declaration SUBMITTED by EMPLOYEE,1
declaration 54873,Declaration SUBMITTED by EMPLOYEE,1
declaration 54855,Declaration SUBMITTED by EMPLOYEE,1
declaration 54830,Declaration SUBMITTED by EMPLOYEE,1
declaration 54660,Declaration SUBMITTED by EMPLOYEE,1
declaration 54622,Declaration SUBMITTED by EMPLOYEE,1
declaration 5459,Declaration SUBMITTED by EMPLOYEE,1
declaration 54479,Declaration SUBMITTED by EMPLOYEE,1
declaration 54271,Declaration SUBMITTED by EMPLOYEE,1
declaration 54151,Declaration SUBMITTED by EMPLOYEE,1
declaration 54120,Declaration SUBMITTED by EMPLOYEE,1
declaration 5408,Declaration SUBMITTED by EMPLOYEE,1
declaration 54057,Declaration SUBMITTED by EMPLOYEE,1
declaration 54016,Declaration SUBMITTED by EMPLOYEE,1
declaration 53902,Declaration SUBMITTED by EMPLOYEE,1
declaration 56057,Declaration SUBMITTED by EMPLOYEE,1
declaration 56022,Declaration SUBMITTED by EMPLOYEE,1
declaration 55915,Declaration SUBMITTED by EMPLOYEE,1
declaration 5584,Declaration SUBMITTED by EMPLOYEE,1
declaration 55796,Permit SUBMITTED by EMPLOYEE,1
declaration 55761,Declaration SUBMITTED by EMPLOYEE,1
declaration 5570,Declaration SUBMITTED by EMPLOYEE,1
declaration 55438,Declaration SUBMITTED by EMPLOYEE,1
declaration 55413,Declaration SUBMITTED by EMPLOYEE,1
declaration 55400,Declaration SUBMITTED by EMPLOYEE,1
declaration 55276,Declaration SUBMITTED by EMPLOYEE,1
declaration 55197,Declaration SUBMITTED by EMPLOYEE,1
declaration 55182,Declaration SUBMITTED by EMPLOYEE,1
declaration 55116,Declaration SUBMITTED by EMPLOYEE,1
declaration 55037,Declaration SUBMITTED by EMPLOYEE,1
declaration 55024,Declaration SUBMITTED by EMPLOYEE,1
declaration 5712,Declaration SUBMITTED by EMPLOYEE,1
declaration 57118,Permit SUBMITTED by EMPLOYEE,1
declaration 5698,Declaration SUBMITTED by EMPLOYEE,1
declaration 5682,Declaration SUBMITTED by EMPLOYEE,1
declaration 56818,Declaration SUBMITTED by EMPLOYEE,1
declaration 56716,Declaration SUBMITTED by EMPLOYEE,1
declaration 56698,Declaration SUBMITTED by EMPLOYEE,1
declaration 56685,Declaration SUBMITTED by EMPLOYEE,1
declaration 5665,Declaration SUBMITTED by EMPLOYEE,1
declaration 56636,Declaration SUBMITTED by EMPLOYEE,1
declaration 56557,Declaration SUBMITTED by EMPLOYEE,1
declaration 56544,Declaration SUBMITTED by EMPLOYEE,1
declaration 56519,Declaration SUBMITTED by EMPLOYEE,1
declaration 56496,Declaration SUBMITTED by EMPLOYEE,1
declaration 56238,Declaration SUBMITTED by EMPLOYEE,1
declaration 5610,Declaration SUBMITTED by EMPLOYEE,1
declaration 3171,Declaration SUBMITTED by EMPLOYEE,1
declaration 31697,Send Reminder,1
declaration 57195,Declaration SUBMITTED by EMPLOYEE,1
declaration 146145,Declaration SUBMITTED by EMPLOYEE,1
declaration 146100,Declaration SUBMITTED by EMPLOYEE,1
declaration 146090,Declaration SUBMITTED by EMPLOYEE,1
declaration 146080,Declaration SUBMITTED by EMPLOYEE,1
declaration 146068,Declaration SUBMITTED by EMPLOYEE,1
declaration 145931,Declaration SUBMITTED by EMPLOYEE,1
declaration 145913,Declaration SUBMITTED by EMPLOYEE,1
declaration 145748,Declaration SUBMITTED by EMPLOYEE,1
declaration 145703,Declaration SUBMITTED by EMPLOYEE,1
declaration 145657,Declaration SUBMITTED by EMPLOYEE,1
declaration 14557,Declaration SUBMITTED by EMPLOYEE,1
declaration 57168,Declaration SUBMITTED by EMPLOYEE,1
declaration 57143,Declaration SUBMITTED by EMPLOYEE,1
declaration 57445,Declaration SUBMITTED by EMPLOYEE,1
declaration 57312,Declaration SUBMITTED by EMPLOYEE,1
declaration 18581,Declaration SUBMITTED by EMPLOYEE,1
declaration 18538,Declaration SUBMITTED by EMPLOYEE,1
declaration 1851,Declaration SUBMITTED by EMPLOYEE,1
declaration 18468,Declaration SUBMITTED by EMPLOYEE,1
declaration 18428,Declaration SUBMITTED by EMPLOYEE,1
declaration 18415,Declaration SUBMITTED by EMPLOYEE,1
declaration 1838,Declaration SUBMITTED by EMPLOYEE,1
declaration 18313,Declaration SUBMITTED by EMPLOYEE,1
declaration 1817,Declaration SUBMITTED by EMPLOYEE,1
declaration 18111,Declaration SUBMITTED by EMPLOYEE,1
declaration 18062,Declaration SUBMITTED by EMPLOYEE,1
declaration 18042,Declaration SUBMITTED by EMPLOYEE,1
declaration 17922,Declaration SUBMITTED by EMPLOYEE,1
declaration 31796,Declaration SUBMITTED by EMPLOYEE,1
declaration 58689,Declaration SUBMITTED by EMPLOYEE,1
declaration 58585,Declaration SUBMITTED by EMPLOYEE,1
declaration 58433,Declaration SUBMITTED by EMPLOYEE,1
declaration 5834,Declaration SUBMITTED by EMPLOYEE,1
declaration 58155,Declaration SUBMITTED by EMPLOYEE,1
declaration 58142,Declaration SUBMITTED by EMPLOYEE,1
declaration 58007,Declaration SUBMITTED by EMPLOYEE,1
declaration 57913,Declaration SUBMITTED by EMPLOYEE,1
declaration 57876,Permit SUBMITTED by EMPLOYEE,1
declaration 57847,Declaration SUBMITTED by EMPLOYEE,1
declaration 57740,Declaration SUBMITTED by EMPLOYEE,1
declaration 5773,Declaration SUBMITTED by EMPLOYEE,1
declaration 57715,Declaration SUBMITTED by EMPLOYEE,1
declaration 57652,Declaration SUBMITTED by EMPLOYEE,1
declaration 5759,Declaration SUBMITTED by EMPLOYEE,1
declaration 57586,Declaration SUBMITTED by EMPLOYEE,1
declaration 59703,Permit SUBMITTED by EMPLOYEE,1
declaration 59678,Declaration SUBMITTED by EMPLOYEE,1
declaration 59554,Declaration SUBMITTED by EMPLOYEE,1
declaration 59496,Declaration SUBMITTED by EMPLOYEE,1
declaration 59471,Declaration SUBMITTED by EMPLOYEE,1
declaration 59324,Declaration SUBMITTED by EMPLOYEE,1
declaration 59291,Declaration SUBMITTED by EMPLOYEE,1
declaration 5927,Declaration SUBMITTED by EMPLOYEE,1
declaration 59133,Declaration SUBMITTED by EMPLOYEE,1
declaration 59089,Declaration SUBMITTED by EMPLOYEE,1
declaration 59071,Declaration SUBMITTED by EMPLOYEE,1
declaration 58830,Declaration SUBMITTED by EMPLOYEE,1
declaration 58787,Permit SUBMITTED by EMPLOYEE,1
declaration 58762,Declaration SUBMITTED by EMPLOYEE,1
declaration 58749,Declaration SUBMITTED by EMPLOYEE,1
declaration 58702,Declaration SUBMITTED by EMPLOYEE,1
declaration 60536,Permit SUBMITTED by EMPLOYEE,1
declaration 60517,Declaration SUBMITTED by EMPLOYEE,1
declaration 60459,Declaration SUBMITTED by EMPLOYEE,1
declaration 60399,Declaration SUBMITTED by EMPLOYEE,1
declaration 60302,Declaration SUBMITTED by EMPLOYEE,1
declaration 60276,Declaration SUBMITTED by EMPLOYEE,1
declaration 60204,Declaration SUBMITTED by EMPLOYEE,1
declaration 6011,Declaration SUBMITTED by EMPLOYEE,1
declaration 60096,Declaration SUBMITTED by EMPLOYEE,1
declaration 60081,Declaration SUBMITTED by EMPLOYEE,1
declaration 5998,Declaration SUBMITTED by EMPLOYEE,1
declaration 59963,Declaration SUBMITTED by EMPLOYEE,1
declaration 59925,Declaration SUBMITTED by EMPLOYEE,1
declaration 5985,Declaration SUBMITTED by EMPLOYEE,1
declaration 59809,Declaration SUBMITTED by EMPLOYEE,1
declaration 59726,Declaration SUBMITTED by EMPLOYEE,1
declaration 31646,Declaration SUBMITTED by EMPLOYEE,1
declaration 31595,Declaration SUBMITTED by EMPLOYEE,1
declaration 31525,Declaration SUBMITTED by EMPLOYEE,1
declaration 31495,Send Reminder,1
declaration 31410,Declaration SUBMITTED by EMPLOYEE,1
declaration 31348,Declaration SUBMITTED by EMPLOYEE,1
declaration 31259,Declaration SUBMITTED by EMPLOYEE,1
declaration 31205,Declaration SUBMITTED by EMPLOYEE,1
declaration 31040,Declaration SUBMITTED by EMPLOYEE,1
declaration 31022,Declaration SUBMITTED by EMPLOYEE,1
declaration 30950,Declaration SUBMITTED by EMPLOYEE,1
declaration 30918,Declaration SUBMITTED by EMPLOYEE,1
declaration 30843,Declaration SUBMITTED by EMPLOYEE,1
declaration 30730,Declaration SUBMITTED by EMPLOYEE,1
declaration 60662,Declaration SUBMITTED by EMPLOYEE,1
declaration 60639,Declaration SUBMITTED by EMPLOYEE,1
declaration 145296,Declaration SUBMITTED by EMPLOYEE,1
declaration 145243,Declaration SUBMITTED by EMPLOYEE,1
declaration 145165,Declaration SUBMITTED by EMPLOYEE,1
declaration 144860,Declaration SUBMITTED by EMPLOYEE,1
declaration 6159,Declaration SUBMITTED by EMPLOYEE,1
declaration 61566,Declaration SUBMITTED by EMPLOYEE,1
declaration 61483,Declaration SUBMITTED by EMPLOYEE,1
declaration 61460,Declaration SUBMITTED by EMPLOYEE,1
declaration 61365,Declaration SUBMITTED by EMPLOYEE,1
declaration 61146,Declaration SUBMITTED by EMPLOYEE,1
declaration 60987,Declaration SUBMITTED by EMPLOYEE,1
declaration 60964,Permit SUBMITTED by EMPLOYEE,1
declaration 60859,Declaration SUBMITTED by EMPLOYEE,1
declaration 60698,Declaration SUBMITTED by EMPLOYEE,1
declaration 60675,Declaration SUBMITTED by EMPLOYEE,1
declaration 31684,Declaration SUBMITTED by EMPLOYEE,1
declaration 6237,Declaration SUBMITTED by EMPLOYEE,1
declaration 62341,Declaration SUBMITTED by EMPLOYEE,1
declaration 62288,Declaration SUBMITTED by EMPLOYEE,1
declaration 62252,Declaration SUBMITTED by EMPLOYEE,1
declaration 62239,Declaration SUBMITTED by EMPLOYEE,1
declaration 62108,Permit SUBMITTED by EMPLOYEE,1
declaration 62043,Declaration SUBMITTED by EMPLOYEE,1
declaration 61878,Declaration SUBMITTED by EMPLOYEE,1
declaration 61801,Declaration SUBMITTED by EMPLOYEE,1
declaration 61639,Declaration SUBMITTED by EMPLOYEE,1
declaration 145558,Declaration SUBMITTED by EMPLOYEE,1
declaration 145466,Declaration SUBMITTED by EMPLOYEE,1
declaration 145427,Declaration SUBMITTED by EMPLOYEE,1
declaration 145416,Declaration SUBMITTED by EMPLOYEE,1
declaration 145398,Declaration SUBMITTED by EMPLOYEE,1
declaration 145355,Declaration SUBMITTED by EMPLOYEE,1
declaration 63349,Declaration SUBMITTED by EMPLOYEE,1
declaration 63312,Declaration SUBMITTED by EMPLOYEE,1
declaration 63267,Declaration SUBMITTED by EMPLOYEE,1
declaration 6323,Permit SUBMITTED by EMPLOYEE,1
declaration 63218,Declaration SUBMITTED by EMPLOYEE,1
declaration 63171,Declaration SUBMITTED by EMPLOYEE,1
declaration 63066,Declaration SUBMITTED by EMPLOYEE,1
declaration 63016,Declaration SUBMITTED by EMPLOYEE,1
declaration 62981,Declaration SUBMITTED by EMPLOYEE,1
declaration 62936,Declaration SUBMITTED by EMPLOYEE,1
declaration 62899,Declaration SUBMITTED by EMPLOYEE,1
declaration 62806,Declaration SUBMITTED by EMPLOYEE,1
declaration 62676,Declaration SUBMITTED by EMPLOYEE,1
declaration 62615,Declaration SUBMITTED by EMPLOYEE,1
declaration 62541,Declaration SUBMITTED by EMPLOYEE,1
declaration 6253,Declaration SUBMITTED by EMPLOYEE,1
declaration 63482,Declaration SUBMITTED by EMPLOYEE,1
declaration 30677,Declaration SUBMITTED by EMPLOYEE,1
declaration 30598,Declaration SUBMITTED by EMPLOYEE,1
declaration 30479,Declaration SUBMITTED by EMPLOYEE,1
declaration 3045,Declaration SUBMITTED by EMPLOYEE,1
declaration 30443,Declaration SUBMITTED by EMPLOYEE,1
declaration 30381,Permit SUBMITTED by EMPLOYEE,1
declaration 30360,Declaration SUBMITTED by EMPLOYEE,1
declaration 30273,Declaration SUBMITTED by EMPLOYEE,1
declaration 30231,Declaration SUBMITTED by EMPLOYEE,1
declaration 30154,Declaration SUBMITTED by EMPLOYEE,1
declaration 30070,Declaration SUBMITTED by EMPLOYEE,1
declaration 29996,Declaration SUBMITTED by EMPLOYEE,1
declaration 29900,Declaration SUBMITTED by EMPLOYEE,1
declaration 2990,Declaration SUBMITTED by EMPLOYEE,1
declaration 63405,Declaration SUBMITTED by EMPLOYEE,1
declaration 64547,Permit SUBMITTED by EMPLOYEE,1
declaration 64456,Declaration SUBMITTED by EMPLOYEE,1
declaration 64443,Declaration SUBMITTED by EMPLOYEE,1
declaration 64374,Declaration SUBMITTED by EMPLOYEE,1
declaration 64360,Declaration SUBMITTED by EMPLOYEE,1
declaration 64036,Declaration SUBMITTED by EMPLOYEE,1
declaration 63991,Declaration SUBMITTED by EMPLOYEE,1
declaration 63975,Permit SUBMITTED by EMPLOYEE,1
declaration 63895,Declaration SUBMITTED by EMPLOYEE,1
declaration 63819,Declaration SUBMITTED by EMPLOYEE,1
declaration 63740,Declaration SUBMITTED by EMPLOYEE,1
declaration 63688,Declaration SUBMITTED by EMPLOYEE,1
declaration 63617,Declaration SUBMITTED by EMPLOYEE,1
declaration 63592,Declaration SUBMITTED by EMPLOYEE,1
declaration 63579,Declaration SUBMITTED by EMPLOYEE,1
declaration 63519,Declaration SUBMITTED by EMPLOYEE,1
declaration 144269,Declaration SUBMITTED by EMPLOYEE,1
declaration 144012,Declaration SUBMITTED by EMPLOYEE,1
declaration 143885,Declaration SUBMITTED by EMPLOYEE,1
declaration 14358,Declaration SUBMITTED by EMPLOYEE,1
declaration 143502,Declaration SUBMITTED by EMPLOYEE,1
declaration 65318,Send Reminder,1
declaration 65252,Permit SUBMITTED by EMPLOYEE,1
declaration 65217,Declaration SUBMITTED by EMPLOYEE,1
declaration 65146,Declaration SUBMITTED by EMPLOYEE,1
declaration 65133,Declaration SUBMITTED by EMPLOYEE,1
declaration 65117,Declaration SUBMITTED by EMPLOYEE,1
declaration 65030,Declaration SUBMITTED by EMPLOYEE,1
declaration 64931,Declaration SUBMITTED by EMPLOYEE,1
declaration 64831,Declaration SUBMITTED by EMPLOYEE,1
declaration 64706,Declaration SUBMITTED by EMPLOYEE,1
declaration 64645,Declaration SUBMITTED by EMPLOYEE,1
